名称,户型,面积,朝向,是否装修,有无电梯,总价,单价,产权信息
华泰家园 三室一厅 采光刺眼 环境优美,3室1厅,135.74平米,南,精装,低楼层(共14层),300,22102,非共有
急售！ 满 五 唯 一 叠翠峰精装修3房，业主新房已定,3室1厅,89.02平米,南,精装,低楼层(共33层),249,27972,共有
诚心出售，迎春乐家，精装两房，楼层好，满五唯一。,2室2厅,88.37平米,南,精装,中楼层(共18层),164,18559,共有
拎包入住 上海城精装大三房 好位置满五唯一省税费,3室2厅,143.97平米,南 北,精装,高楼层(共12层),235,16323,共有
新城金郡，电梯洋房，得房率高，采光无忧，急售,3室2厅,89.4平米,南,精装,低楼层(共11层),204,22819,共有
40万装修，小三房，主卧带飘窗，客厅朝南带阳台，诚售,3室2厅,99平米,南,精装,中楼层(共33层),375,37879,共有
满二年 采光好 精装修 拎包即入,3室2厅,92.46平米,南,精装,低楼层(共34层),209,22605,共有
绿地21新城 3室2厅 南 北,3室2厅,88平米,南 北,简装,中楼层(共34层),150,17046,非共有
急售！平江万达广场70年产权，自住精装满五唯1省税,1室1厅,53平米,南,精装,低楼层(共29层),148,27925,非共有
北栅湾西区 3室1厅 南,3室1厅,78.41平米,南,简装,中楼层(共6层),285,36348,非共有
此房：小三房，阳台大，全新精装修，保养好，采光好,3室2厅,97平米,南 北,精装,低楼层(共6层),112,11547,非共有
玲珑家园 2室2厅 南,2室2厅,77.7平米,南,简装,6层,80,10297,共有
5百米视野部分湖景 ，可视国金摩天轮东方之门，3+1,3室2厅,143.98平米,南 西 北,精装,高楼层(共18层),598,41534,共有
星湖湾精装修未住人，一个车位，一个储藏室，诚心出售,3室2厅,103平米,南 北,精装,低楼层(共20层),200,19418,共有
新城翡翠湾 2室2厅 南,2室2厅,90.27平米,南,精装,高楼层(共13层),168,18611,非共有
精装修 满五年 带独库，中间位置中间楼层 诚心出售,2室1厅,68平米,南,简装,中楼层(共5层),150,22059,非共有
婚装自住，中间楼层，诚意出售，拎包入住,3室2厅,94.93平米,南,精装,中楼层(共18层),230,24229,非共有
沧实小，振华未用 黄精楼层采光无遮挡，满五年,2室1厅,56.19平米,南,精装,中楼层(共4层),320,56950,共有
彩香二村，刚需两房，楼层好，总价低，满5年，诚售,2室1厅,43.25平米,南,简装,中楼层(共7层),102,23584,共有
心泊梅花苑，南北通大两房，装修20万,看房方便,2室2厅,93平米,南 北,精装,低楼层(共11层),125.5,13495,非共有
柏庐新村   满2年  地铁沿线三房,3室1厅,70.75平米,南,精装,中楼层(共5层),265,37456,共有
华宇锦绣花城，3室2厅，全新毛坯，高楼层，视野好。,3室2厅,89.21平米,南,简装,中楼层(共25层),165,18496,共有
常发香城名园 高铁站 精装两房 户型好  边套 诚心出售,2室2厅,94.96平米,南,精装,中楼层(共6层),182.8,19251,共有
广济公寓 2室2厅 南,2室2厅,76.25平米,南,精装,中楼层(共6层),165,21640,共有
此精装3房，全新品牌家具家电，钻石楼层，小区环好。,3室2厅,89.96平米,南,精装,低楼层(共18层),135,15007,共有
御亭花苑简装两房出售  带15平左右的车库,2室1厅,78平米,南,毛坯,低楼层(共5层),115,14744,非共有
丽景湾 精装房 家具家电齐全 诚心出售 看房随时,3室2厅,90.74平米,南,精装,高楼层(共34层),190,20939,共有
家天下婚装三房，30万装修，品牌家具家电，拎包入住,3室2厅,89.29平米,南,精装,中楼层(共24层),242,27103,共有
永平家园 2室2厅 南 北,2室2厅,92平米,南 北,精装,中楼层(共6层),135.5,14729,共有
万科大品牌，洋房，南北通透，一梯两户,3室2厅,88平米,南 北,简装,中楼层(共10层),170.1,19330,共有
浦园 2室2厅 南,2室2厅,83.6平米,南,精装,低楼层(共5层),82,9809,共有
次顶层精装修 全天采光好 满五年少税费大两房,2室1厅,96.01平米,南,精装,25层,380,39580,非共有
满两年，交通便利，生活方便，楼间距宽，适宜居住,1室1厅,45平米,南,简装,低楼层(共4层),116,25778,共有
新城域大2房，精装自住，满五唯一，看房方便，,2室2厅,86.5平米,南,精装,低楼层(共28层),131.4,15191,共有
解放新村旁巴里新村二南户型出售·,2室1厅,45.5平米,南,简装,低楼层(共6层),102,22418,共有
满五唯一，一楼半，采光充足交通便利。,2室1厅,60.23平米,南,精装,低楼层(共5层),148,24573,非共有
吾悦旁 毛坯大两房 可自由装修,2室2厅,80.67平米,南,毛坯,高楼层(共27层),120,14876,共有
华通花园一区 2室1厅 南,2室1厅,61平米,南,精装,中楼层(共5层),122,20000,非共有
一楼带花园，出行方便，上下学方便，诚售！,2室1厅,70平米,南,精装,低楼层(共6层),219,31286,非共有
正仪精装2房（89平142.6万）随时看房 诚心卖！！！,2室2厅,89平米,南,精装,高楼层(共27层),142.6,16023,共有
满五唯一，精装修小三房，实用性强,3室2厅,88平米,南 北,精装,低楼层(共6层),222,25228,共有
新上梅亭苑好楼层  总价低 看房方便,2室1厅,58平米,南,简装,中楼层(共5层),146,25173,共有
西塘新村 中高楼层 名下唯一住宅 精装两房 诚心出售,2室1厅,50.33平米,南 北,精装,高楼层(共6层),110,21856,非共有
果园新村82平小居室总价115万，业主诚心出售噢,2室1厅,82平米,南,简装,中楼层(共17层),114,13903,共有
新上四季三房楼层好视野采光充足,3室2厅,109.48平米,南,精装,高楼层(共18层),420,38364,非共有
红树湾毛坯3房，有钥匙，看房随时方便，业主诚心出售,3室2厅,85平米,南,毛坯,中楼层(共34层),184,21648,共有
湄长新村正三房，业主自住看房随时方便！,3室2厅,94.25平米,南,简装,高楼层(共6层),175,18568,非共有
光大花园 德佑王传富推荐 精装3房 少有户型 诚心出售,3室2厅,92平米,南 北,精装,中楼层(共11层),175,19022,共有
万科精装三房，中楼层，诚意出售。,3室2厅,84平米,南,精装,中楼层(共34层),208,24762,共有
此房是开发商统装的恒温恒湿的科技住宅，居住舒适,3室2厅,123.47平米,南,精装,低楼层(共33层),299,24217,共有
清爽装修自住，满两年，小区位置安静，配套成熟适合住,3室2厅,91.01平米,南,精装,低楼层(共18层),230,25272,共有
新浒花园二区小户，满五唯一，中间楼层，价格可谈,3室1厅,91.38平米,南,精装,中楼层(共5层),195,21340,共有
新康花园二楼，满五唯一精装大3房，有车位，业主诚售,3室2厅,93.59平米,南,精装,低楼层(共6层),243,25965,非共有
万科品质 全明户型 楼层好 视野开阔,3室2厅,89.6平米,南,精装,高楼层(共32层),217,24219,共有
中南，精装复式房，5房3厅2卫，实用面积大，满2年！,5室3厅,98.7平米,东南 南,精装,高楼层(共33层),200,20264,非共有
满五唯一，好房连连看 ，中间楼层，适合范围广。,3室2厅,84.66平米,南,精装,中楼层(共6层),220,25987,非共有
低密度电梯洋房 精装大三居 品牌家居 采光视野佳,3室2厅,147.26平米,南,精装,高楼层(共10层),700,47535,共有
业主诚心出售 楼层好 采光没遮挡 看房方便,3室2厅,141平米,南,精装,高楼层(共29层),588.6,41745,非共有
此房好楼层 房东台湾夫妇人很好 17年装修自住保养好。,4室2厅,142.6平米,东南,精装,高楼层(共27层),268,18794,共有
别墅区 满二精装 闹中取静 有院子,4室2厅,146平米,南,精装,低楼层(共6层),415,28425,共有
新上房源 精装大三房户型方正 家具家电全留 诚意出售,3室2厅,137.08平米,南,精装,中楼层(共18层),396,28889,共有
品牌开发商，经典三房南北通户型,3室2厅,94平米,南 北,精装,高楼层(共33层),178,18937,共有
中铁诺德誉园精装修3房2厅 满W年唯 一   房东诚心出售,3室2厅,83平米,南,精装,中楼层(共18层),171,20603,共有
新上地铁口三房，业主诚售，中间偏上楼层,3室2厅,93.5平米,南,简装,中楼层(共28层),225,24065,共有
小区优质房源  中间位置  稀有户型  价格可谈,2室2厅,87.01平米,南,精装,高楼层(共11层),285,32755,非共有
一线湖景房，奢装大平层，装修未住人，房主诚心出售,5室2厅,183平米,南 北,精装,中楼层(共25层),599,32733,共有
木渎新贵   自住保养很好  楼层好  采光无影响,3室2厅,88平米,南,精装,高楼层(共33层),230,26137,共有
合景峰汇 精装五房保养好 有车位 中间楼层 视野开阔,5室2厅,141.65平米,南,精装,中楼层(共18层),370,26121,共有
满五唯一  25万精装自住 品牌家居家电  有车位,3室2厅,89平米,南,精装,中楼层(共33层),254,28540,共有
优步花园小三房 中上楼层 视野好 诚意售,3室1厅,88平米,南,简装,中楼层(共18层),258,29319,共有
店长热推：中海品质社区 小高层 采光好 装修拎包入住,3室2厅,119平米,南,精装,中楼层(共11层),639,53698,共有
新城域  3室2厅中等装修 楼层好 户型好,3室2厅,108.57平米,南,精装,高楼层(共18层),159,14645,非共有
湖景房，精装修，品牌空调带地暖，采光好，诚意出售,4室1厅,265平米,南,精装,低楼层(共31层),780,29434,共有
金塘园 精装三房带地暖 好楼层 视野开阔 诚心出售,3室2厅,114平米,南,精装,高楼层(共24层),240,21053,共有
4开间朝南 一楼带花园 一二楼复式 看房方便诚意售,4室2厅,155.96平米,南,精装,24层,599,38408,非共有
相门轻轨沿线，苏大旁，新上精装两南房户型正,2室1厅,55.51平米,南,精装,中楼层(共6层),230,41434,非共有
精装三房，自住装修，视野开阔，保养好,3室2厅,98平米,南,精装,25层,458,46735,共有
急售!精装修家具家电，带21平车库，南北通三房二卫,3室2厅,126.48平米,南,精装,中楼层(共7层),199,15734,共有
富力湾 4室1厅 南,4室1厅,185平米,南,精装,低楼层(共3层),380,20541,共有
皮市街房卡房，一楼带阁楼，配套设施齐全，交通便利,2室1厅,40.6平米,南,精装,低楼层(共1层),113,27833,非共有
森隆满园 洋房 中间楼层  全新装修 拎包入住,3室2厅,98.6平米,南 北,精装,高楼层(共11层),158.8,16106,共有
美之国花园，楼层3楼，带车库车位，单价低,3室2厅,116.63平米,南,精装,中楼层(共6层),290,24865,共有
红杨花园 两房朝南 简装 带车库 满五唯一,2室2厅,91.7平米,南,简装,低楼层(共6层),119,12978,非共有
房子朝南，精装修 带两个隔断，户型方正,1室1厅,54.6平米,南,精装,中楼层(共29层),48,8792,非共有
中翔三区精装复式 可利用面积大 靠天虹楼下小商品市场,1室1厅,46.37平米,东,精装,中楼层(共8层),83,17900,非共有
晨曦北园 2室2厅 南,2室2厅,86平米,南,精装,高楼层(共6层),129.8,15094,非共有
双南户型，视野宽阔，配套齐全，交通便利,2室1厅,81.61平米,南,毛坯,低楼层(共15层),154,18871,共有
常发香城湾二期 3室2厅 东南,3室2厅,112平米,东南,简装,低楼层(共30层),176.9,15795,共有
阳光水世界三期，主卧带卫生间，南北通中间楼层,2室2厅,98.73平米,南,精装,中楼层(共5层),165.8,16794,共有
吴逸花苑，小区中间位置，不沿高架，两房朝南,2室1厅,67.8平米,南,简装,低楼层(共5层),150,22124,非共有
精装修，独门独院，出脚方便，商圈成熟，配套齐全。,1室1厅,35.42平米,南,精装,低楼层(共4层),108,30492,共有
湖景房,户型方正，格局通透 楼层好,全天采光,看房随时,3室2厅,94平米,南,毛坯,低楼层(共32层),178,18937,共有
此房豪 华装修，通透格局 配套设施齐全 交通便利,2室2厅,89平米,南,精装,中楼层(共14层),239,26854,共有
杨枝四村 3室1厅 南,3室1厅,63.45平米,南,毛坯,低楼层(共6层),175,27581,非共有
不是上海，胜似上海，免个税精装房好楼层诚意出售,2室2厅,83.96平米,南,精装,高楼层(共34层),218,25965,非共有
全新毛坯 边户急售 5.4米挑高,1室1厅,70.5平米,东北,毛坯,18层,82,11632,非共有
格兰新村，出行方便，总价低，刚需客户可以考虑,2室1厅,62平米,南 北,毛坯,中楼层(共5层),95,15323,共有
业主精装自住，中间楼层，诚意出售,3室2厅,89.02平米,南,精装,中楼层(共33层),255,28646,共有
科技城72平小面积 刚需好房 楼层佳,2室1厅,72.48平米,东南,毛坯,高楼层(共11层),213,29388,非共有
吴中村2楼边户，有车库，全明户型，钥匙在店,3室2厅,82.96平米,南,简装,低楼层(共6层),180,21698,共有
房东急买，房子满二年，可少交税，离太湖1000米,2室1厅,162.59平米,南,简装,低楼层(共8层),150,9226,共有
急售！拎包入住，业主置换低价出售，看中可谈。,2室1厅,52.56平米,南,精装,中楼层(共6层),140,26637,非共有
满五唯一，精装自住，户型好，急卖，看中价格可以谈,2室2厅,87.97平米,南,精装,高楼层(共6层),107,12164,共有
新浒花园二区61平小户，中间楼层光线很好，带车库,2室2厅,61平米,南,简装,中楼层(共5层),135,22132,共有
积水品质住宅小区 精装带地暖 看房方便,2室2厅,89.71平米,南 北,精装,31层,230,25639,非共有
碧桂园时代城 3室2厅 南,3室2厅,120平米,南,精装,低楼层(共34层),175,14584,共有
南北通透  边套精装  房东已定好复式楼 急售,3室2厅,96.18平米,南 北,精装,中楼层(共34层),175,18196,共有
满两年，拎包入住，靠中环，出行方便,2室2厅,94平米,南,简装,中楼层(共10层),135,14362,共有
蒋爱华新上 彩香一村一区好房  4楼 有钥匙,2室1厅,60.98平米,南,简装,中楼层(共6层),130,21319,共有
和美家园精装小三房 拎包入住 诚意出售 房龄新配套全,3室1厅,69.29平米,南,精装,高楼层(共30层),149,21504,非共有
富士花园 南北通，户型房正，楼层好，采光充足,2室2厅,92.57平米,南 北,精装,中楼层(共18层),190,20526,共有
和茂苑新出一房，中上楼层，产权清晰，诚心出售,1室1厅,61.5平米,南,简装,高楼层(共30层),267.8,43545,共有
近大白荡生态公园，精装婚房，全屋实木地板，拎包入住,2室1厅,89平米,南,精装,中楼层(共18层),159.9,17967,共有
满五唯一，带大院子，适合老人养老，得房率高，,2室2厅,90.21平米,南,精装,低楼层(共6层),186,20619,非共有
新城花园两房朝南，小区中间位置，不靠马路，不临街。,2室1厅,78平米,南,精装,中楼层(共5层),320,41026,共有
杨枝三村，二楼，无遮挡采光，不靠马路高架,2室1厅,55.4平米,南,精装,低楼层(共6层),148,26715,共有
工业园区 青剑湖复式公寓 上下两层 交通便利,1室2厅,50.42平米,北,精装,中楼层(共13层),61.5,12198,共有
双轨 交汇 交通方便 近火车站 朝南 采光好 房龄新,2室1厅,80.5平米,南,精装,高楼层(共32层),136,16895,非共有
此房满五年 轻轨一号线 3楼 采光好 简洁清爽 价格可谈,1室1厅,39.33平米,南,简装,中楼层(共6层),93,23647,非共有
急卖，急卖，达善花园103平，房东换房急卖,2室2厅,104平米,南,毛坯,低楼层(共18层),141,13558,共有
东环沿线 精装两房 拎包入住 带地暖 好楼层 安静位置,2室1厅,61.7平米,南 北,精装,低楼层(共6层),169.8,27521,共有
金龙花园 大三房 两南一北 楼层位置有钥匙，采光好,3室2厅,135平米,南,精装,中楼层(共9层),512,37926,共有
三房朝南，中间楼层，采光好，业主诚心出售,3室1厅,90平米,南,简装,中楼层(共7层),171,19000,共有
劳动路95号 两房朝南厨卫朝北,采光通风好交通便利,2室1厅,59平米,南,简装,中楼层(共6层),134,22712,共有
金塘新村为数不多的砖混结构房。,2室1厅,60平米,南,精装,中楼层(共6层),136.8,22800,共有
裕花园89平精装自住三开间朝南房东置换成售价格好谈,2室2厅,89平米,南,精装,高楼层(共27层),131.8,14809,非共有
此房楼层好，采光好视野开阔，业主包增值税,2室1厅,71平米,南,毛坯,中楼层(共22层),113.5,15986,共有
精装洋房，产权清晰，真实在售，小区环境优美,3室2厅,111.7平米,南,精装,低楼层(共11层),242,21666,共有
公园式住宅，精装小三房，景观楼层，视野开阔,3室2厅,91平米,南,精装,高楼层(共34层),162,17803,共有
御花园D户型，经典2房，带电梯，满两年,2室2厅,71.85平米,南,简装,低楼层(共6层),360,50105,共有
苏胥湾 3室2厅 南,3室2厅,88.68平米,南,毛坯,高楼层(共26层),189,21313,共有
满2年，二期不靠马路位置安静，中间楼层采光好,2室2厅,89平米,南,毛坯,中楼层(共26层),128,14383,非共有
平江景范，电梯房边户全明6扇窗外视野开阔，双轨地铁,2室1厅,52.06平米,西南,精装,中楼层(共7层),156,29966,非共有
团结桥地铁口两房，中间楼层，采光很好的。,2室1厅,56.4平米,南,简装,中楼层(共6层),122,21632,非共有
位置便捷 中间楼层 总价低 小区环境自住,2室1厅,57.8平米,南,简装,中楼层(共4层),253,43772,共有
毛坯两房，楼层位置好，适合刚需，采光好，视野开阔,2室2厅,75.3平米,南,毛坯,中楼层(共29层),172,22842,共有
房源诚售  有钥匙 纯毛坯未住过人 产权清晰,2室1厅,66.27平米,南,毛坯,中楼层(共5层),180,27162,共有
平江悦精装两房朝南，临万达，火车站，四通八达,2室1厅,39.91平米,南,精装,高楼层(共22层),81,20296,共有
两房朝南 3楼 18年精装修 家具电器齐全 业主急卖,2室1厅,54.5平米,南 北,精装,中楼层(共5层),119,21835,共有
此房户型好，房龄新，小区环境好，楼层好，采光好！,2室2厅,64平米,南,毛坯,低楼层(共23层),159.6,24938,共有
洋房中间位置，毛坯满2年，通透正三房，三开间朝南,3室2厅,88平米,南,毛坯,高楼层(共6层),318,36137,共有
南山维拉婚装三房 全新未住 中高楼层  有钥匙急售,3室2厅,100平米,南,精装,高楼层(共32层),198,19800,共有
近地铁口.布局合理.保养好.采光佳.诚心出售,3室2厅,96.77平米,南,精装,中楼层(共22层),219,22631,共有
8年前精装修，装修好从没有入住过业主诚心出售,2室2厅,93.75平米,南,精装,高楼层(共17层),360,38400,共有
户型方正，毛坯空关，采光通透，视野开阔,2室2厅,89平米,南,毛坯,高楼层(共26层),112,12585,共有
金地铭悦精装两房南朝北露台20平 值得拥有,2室1厅,68.17平米,南,精装,高楼层(共27层),185,27139,共有
精装小二房 房东区域换动 楼层好 诚意出售 满二年,2室1厅,62.24平米,南,精装,中楼层(共5层),172,27635,非共有
杨枝三村精装大两房，钻石二楼，全明户,2室1厅,63.2平米,南,精装,低楼层(共6层),163.8,25918,共有
吴中CBD出小区轻轨边户全明刚需两房你值得拥有,2室1厅,52.1平米,南,简装,高楼层(共6层),119.8,22995,共有
节假日特惠房！ 带超大露台 幸福里 82平 满两年！,3室2厅,81.72平米,南 北,简装,中楼层(共5层),144,17622,共有
急售   ！      北大资源四房全新精装出售,4室2厅,144.16平米,南 北,精装,中楼层(共29层),263,18244,非共有
11号线地铁800米，易买得商圈，纯毛坯，两房朝南,2室2厅,94平米,南,毛坯,低楼层(共25层),159,16915,非共有
民用水电还有燃气的公寓！月收租两千八九！！！,2室2厅,45平米,北,精装,低楼层(共18层),68,15112,非共有
胥江实验旁  象牙新村 全明户型 拎包入住 带自行车库,2室1厅,60.72平米,南,精装,高楼层(共6层),132,21740,共有
湄长新村中间楼层两房朝南 户型正气采光充足满五唯一,2室1厅,62.35平米,南,简装,中楼层(共6层),141.5,22695,非共有
现代花园 两房朝南，客厅有窗户，东边户，带自行车库,2室1厅,58.74平米,南,简装,低楼层(共5层),139,23664,共有
绿地太湖东岸 下叠带花园 环境优美,4室2厅,244.37平米,东 南 北,毛坯,下叠(共4层),575,23530,共有
出门就是地铁口，大两房，有钥匙，看房方便,2室1厅,45.98平米,南,简装,高楼层(共6层),109,23706,非共有
和茂苑 精装两房 高楼层 视野好 位置好。,2室2厅,88平米,南,精装,高楼层(共30层),325,36932,共有
红旗新村房源 三香广场地铁站 出行方便 市区位置,2室1厅,47.36平米,南 北,简装,高楼层(共5层),94.5,19954,共有
此房房龄新，南北通透，采光好。户型方正,3室2厅,93.07平米,南 北,精装,高楼层(共32层),194,20845,共有
新批教育用地旁 满五唯一  中间楼层 采光刺眼,2室1厅,65平米,南,精装,中楼层(共4层),170,26154,共有
此房精装全配，楼层好楼栋好，采光通透,2室1厅,89平米,南 北,精装,中楼层(共18层),158,17753,共有
满五唯一，三开间朝南，户型正气，业主诚信出售，来谈,3室1厅,101.41平米,南,精装,低楼层(共11层),272,26822,非共有
新上房源 湖景房 精心装修 地暖＋中阳空调 可拎包入住,4室2厅,127.14平米,南 北,精装,高楼层(共18层),448,35237,共有
经典小三房 精装修 带车库 随时可以看房,3室1厅,69.5平米,南,精装,高楼层(共6层),152,21871,共有
大成郡新出好房 满五唯一 看房有钥匙 诚心出售,2室1厅,88.77平米,南,精装,中楼层(共26层),182,20503,共有
此房满2年 看房基本上提前预约就行了楼层很好,3室2厅,91平米,南,简装,中楼层(共34层),163.5,17968,共有
启航社河西经典朝南两房 视野好采光充足 看房方便,2室1厅,71.44平米,南,简装,低楼层(共14层),114,15958,非共有
天逸毛坯正四房，格局通透，小区楼栋位置好，带车位,4室2厅,142.78平米,南,毛坯,低楼层(共18层),210,14708,共有
湖西CBD苏州zhong心，湖景优质好房低价出售,1室1厅,110.56平米,西 北,精装,高楼层(共62层),530,47938,共有
三元一村 满五年 有钥匙看房方便 此房小户型,1室1厅,39.63平米,南,简装,高楼层(共6层),83,20944,共有
地铁口 诚心出售 价格便宜 毛坯刚需房,2室1厅,63.13平米,南,毛坯,高楼层(共30层),146,23127,非共有
地铁口香溪源高层大3房 新小区 房东诚心出售 方便看房,3室2厅,107平米,南,简装,高楼层(共34层),216,20187,共有
全新装修未住 可拎包入住 适合老人一起居住,4室2厅,116.19平米,南,精装,低楼层(共11层),388,33394,共有
万达广场(姑苏区) 1室1厅 南,1室1厅,53.32平米,南,精装,高楼层(共29层),146,27382,共有
此房房东婚装，南北房，全明户型，房东诚心出售,2室1厅,59.9平米,南,精装,7层,133,22204,共有
满五户型好，古城区，生活出行方便，房东诚心出售,2室1厅,60.34平米,南,精装,中楼层(共5层),120,19888,共有
现代花园新精装复式大三房，满五唯一，有大阳光房。,3室1厅,88.61平米,南 北,精装,高楼层(共6层),183,20653,非共有
园区三房，跳楼价急抛，错过后悔70年，业主忍痛割爱，,3室2厅,118.57平米,南,毛坯,低楼层(共27层),232,19567,非共有
通透三居室，满两年业主诚心出售，看房有钥匙。,3室2厅,91.02平米,南,精装,高楼层(共18层),202,22193,非共有
学府现房，多层带电梯 精装含家电  一步龙湖星湖天街,3室2厅,122.18平米,南 北,精装,中楼层(共5层),435,35604,非共有
带一个车位  中间楼层 采光好  房东实价出售,3室1厅,88.53平米,南,毛坯,中楼层(共9层),214.5,24230,共有
青剑湖品质洋房 全新装修  温馨清爽 看房方便,3室2厅,88平米,南,精装,低楼层(共8层),326,37046,共有
中海御景湾 85平 精装3居拎包入住 有钥匙 看房方便,3室2厅,84.93平米,南,精装,低楼层(共39层),199,23432,共有
洋房＋大露台，复式使用面积多，婚房装修提包住,4室2厅,91.22平米,南,精装,高楼层(共5层),260,28503,非共有
鑫苑国际城市花园(昆山市) 2室1厅 南,2室1厅,88.11平米,南,其他,高楼层(共33层),131,14868,非共有
满五不唯一，三元三村，二楼，采光好，楼层低,2室1厅,57.51平米,南,简装,5层,137,23822,共有
优步精装修三房 业主自住 前排 无噪音 采光无遮挡,3室2厅,87.95平米,南,精装,中楼层(共16层),308,35020,非共有
万宇名都 好楼层 精装修 价格实惠 看房方便,2室2厅,91.51平米,南 北,精装,低楼层(共16层),208,22730,非共有
路劲一期精装两房，楼层佳，采光好，中上楼层,2室1厅,65.15平米,南,精装,高楼层(共21层),216,33155,非共有
嘉宝正气3房进S1 中间楼层 满2年 附.梦世界,3室2厅,89.8平米,南,简装,中楼层(共34层),173,19266,共有
满五唯一 东边户 上午采光刺眼 便宜，中装自住,4室2厅,117.64平米,南 东南,精装,低楼层(共24层),249.8,21235,共有
地铁口毛坯3房 中间楼层东边户 视野好采光好 便宜卖,3室2厅,88.42平米,南,毛坯,中楼层(共32层),188,21263,共有
满二年 地铁双湖景三房两卫 全新装修未住过,3室1厅,110.55平米,南 北,精装,高楼层(共31层),326,29489,共有
上海11号线地铁口，景观房，南 北 通 ，看房方便,2室2厅,84.79平米,南 北,毛坯,高楼层(共18层),158.5,18694,共有
金鸡湖学Q房，有车位，有钥匙，随时可以看房,3室2厅,119平米,南,简装,中楼层(共10层),555,46639,共有
房子精装修，自住保养很好，诚意出售，通透户型,3室2厅,117.58平米,南,精装,30层,503,42780,共有
新区CBD 景观楼层 全新毛坯 户型正气 诚意出售,4室1厅,168.58平米,南,毛坯,高楼层(共32层),768,45558,非共有
景观边户  中间楼层   通风效果好   房东诚心出售,2室1厅,85.82平米,南 北,精装,高楼层(共28层),130.5,15207,非共有
振华+城北，满五年，小两房住宅，楼层位置好，急卖,2室1厅,72.93平米,南,简装,中楼层(共6层),128,17552,共有
临河别墅大花园、位置好、国际校旁、使用面积大,4室2厅,240.83平米,南,毛坯,3层,420,17440,共有
商圈优质推荐，康桥旁，新城区唯一单价15666，,2室1厅,75.32平米,南,简装,低楼层(共23层),125,16596,非共有
全屋水暖，环保装修，三开间朝南，不近马路，满二年,3室2厅,92.76平米,南,精装,低楼层(共34层),212,22855,共有
精装优质房 楼层高视野好 采光无遮挡 诚心出售,2室1厅,47.48平米,北,精装,中楼层(共19层),52,10952,非共有
三开间朝南，户型方正，小区内部位置，无噪音,2室2厅,82.39平米,南,精装,低楼层(共28层),196,23790,非共有
店长推荐：通透户型，多层 精装修  带车位 换房急售,3室2厅,127.28平米,南,精装,中楼层(共6层),360,28285,共有
满二，毛坯价，空置，随时可看。,2室2厅,86.91平米,南,简装,低楼层(共32层),308,35439,共有
满二 户型正，格局好。装修保养不错，通透户型,3室2厅,104.51平米,南,简装,高楼层(共5层),139.6,13358,共有
友联一村中间楼层 精装修 房东诚心出售 看房有钥匙,2室1厅,63.2平米,南,精装,中楼层(共5层),161,25475,共有
凤凰层立达未用带租约车位，满五不唯一,3室2厅,119.68平米,南 北,精装,高楼层(共17层),433,36180,共有
小区中间位置中楼层，东方花园诚意出售,3室2厅,126.71平米,南,精装,中楼层(共5层),460,36304,共有
和润家园 地铁 毛坯大三房 业主诚意出售,3室2厅,120.15平米,南,毛坯,中楼层(共11层),315,26218,非共有
青湖语城 三期靠公园位置 2加1户型 南北通透,3室2厅,86.62平米,南 北,精装,中楼层(共17层),260,30017,共有
保利品质 全新毛坯两房 中上楼层 采光刺眼 绝世好房,2室2厅,83.25平米,南,毛坯,高楼层(共31层),245,29430,共有
精装修  满二年 70年产权成套住宅 带地暖 可用公积金,1室1厅,40.72平米,南,精装,高楼层(共18层),96.8,23773,共有
高层无遮挡湖景，湖左岸花园出售,3室2厅,144.95平米,南,精装,中楼层(共31层),778,53674,共有
鑫苑小户3期好位置好楼层，自住保养好，换购诚意出,2室2厅,64.81平米,南,精装,低楼层(共23层),209,32249,非共有
金鸡湖 高尔夫花园 内部房源 价位面议 随时看房,3室2厅,138.45平米,南,精装,低楼层(共24层),576,41604,共有
湖东大平层  诚意出售 看房提前约  满五唯一,4室2厅,156.75平米,南 北,精装,25层,628,40064,共有
常发豪郡 毛坯两房 品质小区 随时看房 设施齐全,2室2厅,74.55平米,南,毛坯,低楼层(共11层),86,11536,共有
时代上城 小高层 经典通透小三房  好楼层,3室2厅,86.09平米,南,精装,中楼层(共11层),410,47625,共有
阳光昆城带车位，低楼层急售！！,3室2厅,125.15平米,南,简装,低楼层(共6层),216.3,17284,共有
园林小区 精装大两房 采光好 有车位 诚意出售！,2室1厅,98.95平米,南 北,精装,中楼层(共28层),367,37090,非共有
何山花园南区，精品小户，诚心出售,3室2厅,99平米,南,精装,高楼层(共6层),310,31314,非共有
挑高4.95米，朝东复式房，环境优雅，清新，诚心卖,2室2厅,51平米,东 北,精装,中楼层(共11层),70.5,13824,共有
新城域精装正宗南北通透两房、房源维护人赵备战推荐,2室2厅,89平米,南 北,精装,高楼层(共11层),130,14607,共有
满五年 自住精装修的 新苏侍其巷 业主诚心出售,1室1厅,34.2平米,南,精装,中楼层(共5层),109.5,32018,非共有
群星苑三区新上两居室，一南一北房，户型方正诚意出售,2室1厅,70.09平米,南,简装,低楼层(共11层),185,26395,共有
可以买！挑高 越湖名邸毛坯三房 双阳台 正气户型！,3室2厅,127.65平米,南,简装,低楼层(共11层),250,19585,共有
丽致星河 70年产权 公寓 房东诚意出售,1室1厅,38平米,北,精装,中楼层(共8层),39,10264,非共有
此房精装修，采光好，简简单单，适宜年轻小夫妻居住。,2室2厅,70平米,西北,精装,中楼层(共33层),120,17143,非共有
